gvn,inline,instcombine,ipsccp,iv_users,jump_threading,licm,print_used_types,sccp,simplifycfg,time_passes,Performance
0,0,1,0,1,0,1,0,0,1,1,231.62
0,0,1,0,1,1,1,0,0,1,1,233.003333333333
1,0,1,0,1,0,0,0,0,0,1,234.87
1,0,1,0,1,0,0,0,0,1,1,238.733333333333
1,0,1,0,1,0,1,0,0,0,1,246.003333333333
1,0,1,0,1,0,1,0,0,1,1,247.993333333333
1,0,1,0,1,1,0,0,0,0,1,238.096666666667
1,0,1,0,1,1,1,0,0,0,1,247.803333333333
1,0,1,0,1,1,0,0,0,1,1,239.556666666667
1,0,1,0,1,1,1,0,0,1,1,249.036666666667
0,0,1,0,0,0,0,0,1,0,1,222.433333333333
0,0,0,0,0,0,0,0,1,1,1,205.206666666667
0,0,1,0,0,0,0,0,1,1,1,222.52
0,0,0,0,0,1,0,0,1,0,1,207.233333333333
0,0,0,0,0,1,0,0,1,1,1,206.616666666667
0,0,1,0,0,1,0,0,1,0,1,222.823333333333
0,0,1,0,0,1,0,0,1,1,1,232.66
1,0,0,0,0,0,0,0,1,0,1,229.166666666667
1,0,1,0,0,0,0,0,1,0,1,244.5
1,0,0,0,0,1,0,0,1,0,1,231.19
1,0,1,0,0,1,0,0,1,0,1,244.49
1,0,0,0,0,0,0,0,1,1,1,229.676666666667
1,0,0,0,0,1,0,0,1,1,1,230.59
1,0,1,0,0,0,0,0,1,1,1,246.48
1,0,1,0,0,1,0,0,1,1,1,246.496666666667
0,0,1,0,1,0,0,0,1,0,1,218.096666666667
0,0,0,0,1,0,0,0,1,1,1,205.363333333333
0,0,1,0,1,0,0,0,1,1,1,222.186666666667
1,0,0,0,1,0,0,0,1,0,1,221.25
1,0,0,0,1,0,0,0,1,1,1,227.183333333333
1,0,1,0,1,0,0,0,1,0,1,237.75
1,0,1,0,1,0,0,0,1,1,1,240.34
0,0,0,0,1,1,0,0,1,0,1,201.703333333333
0,0,1,0,1,1,0,0,1,0,1,218.726666666667
1,0,0,0,1,1,0,0,1,0,1,223.336666666667
1,0,1,0,1,1,0,0,1,0,1,242.086666666667
0,0,0,0,1,1,0,0,1,1,1,206.116666666667
1,0,0,0,1,1,0,0,1,1,1,227.64
0,0,1,0,1,1,0,0,1,1,1,219.87
1,0,1,0,1,1,0,0,1,1,1,243.26
0,0,0,0,0,0,1,0,1,0,1,217.396666666667
0,0,1,0,0,0,1,0,1,0,1,234.866666666667
0,0,0,0,0,0,1,0,1,1,1,217.68
0,0,1,0,0,0,1,0,1,1,1,234.42
0,0,0,0,0,1,1,0,1,0,1,219.313333333333
0,0,0,0,0,1,1,0,1,1,1,218.96
0,0,1,0,0,1,1,0,1,0,1,236.736666666667
0,0,1,0,0,1,1,0,1,1,1,236.433333333333
0,0,1,0,1,0,1,0,1,0,1,232.22
0,0,0,0,1,1,1,0,1,0,1,214.886666666667
0,0,1,0,1,1,1,0,1,0,1,233.416666666667
0,0,0,0,1,0,1,0,1,1,1,218.296666666667
0,0,0,0,1,1,1,0,1,1,1,219.076666666667
0,0,1,0,1,0,1,0,1,1,1,234.873333333333
0,0,1,0,1,1,1,0,1,1,1,236.346666666667
1,0,0,0,0,0,1,0,1,0,1,237.133333333333
1,0,1,0,0,0,1,0,1,0,1,252.836666666667
1,0,0,0,0,0,1,0,1,1,1,237.89
1,0,1,0,0,0,1,0,1,1,1,255.013333333333
1,0,0,0,1,0,1,0,1,0,1,230.466666666667
1,0,0,0,1,0,1,0,1,1,1,235.7
1,0,1,0,1,0,1,0,1,0,1,247.686666666667
1,0,1,0,1,0,1,0,1,1,1,250.066666666667
1,0,0,0,0,1,1,0,1,0,1,238.203333333333
1,0,1,0,0,1,1,0,1,0,1,252.986666666667
1,0,0,0,1,1,1,0,1,0,1,232.493333333333
1,0,1,0,1,1,1,0,1,0,1,251.01
1,0,0,0,0,1,1,0,1,1,1,255.12
1,0,0,0,1,1,1,0,1,1,1,234.053333333333
1,0,1,0,0,1,1,0,1,1,1,254.496666666667
1,0,1,0,1,1,1,0,1,1,1,251.983333333333
0,0,0,0,0,0,0,0,0,0,1,210.44
1,0,0,0,0,0,0,0,0,0,1,234.68
0,0,1,0,0,0,0,0,0,0,1,219.636666666667
0,1,0,0,0,0,0,0,0,0,1,208.92
0,0,0,0,0,1,0,0,0,0,1,208.046666666667
0,0,0,0,0,0,0,0,0,1,1,206.9
0,0,0,0,0,0,0,0,1,0,1,204.986666666667
0,0,0,0,0,0,0,1,0,0,1,204.053333333333
0,0,0,1,0,0,0,0,0,0,1,201.153333333333
0,0,0,0,0,0,1,0,0,0,1,258.826666666667
1,1,1,1,0,0,0,0,1,1,1,249.116666666667
1,1,0,0,1,0,1,1,1,1,1,248.063333333333
0,1,1,0,0,1,0,0,1,1,1,224.506666666667
1,0,1,1,0,0,0,1,1,0,1,241.016666666667
1,0,0,1,0,0,0,1,0,0,1,221.333333333333
1,1,1,1,0,1,1,1,0,1,1,262.94
1,0,1,1,0,1,1,1,1,0,1,250.276666666667
0,0,1,0,1,0,1,1,0,1,1,231.63
1,0,1,1,0,1,0,0,0,1,1,243.963333333333
1,1,1,1,1,1,0,0,1,0,1,255.39
0,1,1,0,1,0,0,1,1,0,1,227.19
1,0,0,1,0,1,1,0,1,1,1,238.556666666667
0,0,0,0,1,1,0,1,0,1,1,201.973333333333
1,1,1,0,1,1,1,1,0,0,1,259.26
0,1,1,1,0,1,1,0,1,1,1,251.786666666667
1,1,1,0,0,1,0,0,0,0,1,243.783333333333
0,0,0,1,0,0,1,0,1,0,1,216.223333333333
1,1,0,0,0,0,1,1,1,1,1,250.566666666667
1,0,0,1,1,1,0,1,1,0,1,228.716666666667
1,1,1,1,1,0,1,1,0,0,1,262.736666666667
0,1,1,0,0,0,1,0,0,1,1,252.266666666667
1,1,1,1,1,0,0,0,1,1,1,255.47
1,1,0,1,1,1,1,1,0,1,1,253.74
0,1,1,1,1,0,1,1,0,1,1,251.913333333333
0,1,1,1,0,0,0,0,1,0,1,229.186666666667
1,1,0,0,0,1,1,0,0,1,1,239.496666666667
0,0,0,1,1,0,0,1,1,0,1,205.99
1,1,1,1,0,0,1,0,0,1,1,264.47
1,0,1,1,1,0,1,0,0,0,1,248.69
1,0,1,1,1,0,0,1,1,1,1,244.233333333333
0,1,0,0,1,1,1,0,0,1,1,257.043333333333
0,0,0,0,0,0,0,1,1,1,1,203.19
0,1,0,0,1,0,1,0,0,1,1,256.06
1,0,0,1,1,1,0,0,1,0,1,226.133333333333
0,0,1,0,1,1,0,1,0,0,1,220.863333333333
1,1,0,1,1,0,0,0,1,1,1,240.986666666667
1,0,1,0,0,1,1,1,0,0,1,254.466666666667
1,1,0,1,1,0,1,1,0,0,1,248.403333333333
0,1,1,1,0,1,0,1,0,1,1,229.68
0,0,1,1,1,1,1,1,1,1,1,237.36
1,1,1,0,0,0,1,1,1,1,1,264.926666666667
0,1,0,0,0,1,1,1,0,0,1,264.736666666667
1,1,0,0,0,0,1,0,0,0,1,240.346666666667
0,0,0,1,1,0,1,1,0,0,1,214.326666666667
1,1,0,1,0,0,0,0,0,1,1,238.246666666667
0,0,1,1,0,1,0,1,0,1,1,219.076666666667
0,1,1,1,0,0,1,1,1,1,1,249.826666666667
1,1,0,1,1,1,1,0,1,0,1,253.82
1,1,0,0,0,0,1,1,0,1,1,251.906666666667
1,0,1,0,0,0,0,1,0,0,1,242.916666666667
0,1,0,1,0,1,0,0,0,1,1,213.096666666667
0,0,0,1,1,1,0,1,1,1,1,207.646666666667
1,1,1,1,1,0,1,1,0,1,1,266.516666666667
1,0,0,1,1,0,1,0,1,1,1,237.506666666667
1,1,0,1,1,1,0,0,0,0,1,234.55
1,0,0,1,1,0,0,0,0,0,1,223.683333333333
0,0,0,0,0,0,1,1,0,0,1,216.636666666667
0,0,1,0,0,0,1,1,1,0,1,233.543333333333
1,1,0,0,1,0,0,0,1,0,1,232.86
1,1,0,1,1,0,0,1,1,0,1,240.993333333333
1,1,0,1,1,1,0,0,1,0,1,239.06
0,1,0,1,0,1,1,0,1,1,1,259.693333333333
1,1,0,1,0,1,0,0,0,1,1,240.073333333333
1,0,0,0,1,1,1,1,0,1,1,235.573333333333
0,1,1,1,1,0,1,0,0,0,1,248.02
0,1,0,0,0,1,1,0,1,0,1,263.31
1,1,0,0,1,1,0,0,0,1,1,233.743333333333
1,0,0,0,1,0,1,1,0,1,1,231.886666666667
0,1,1,0,0,1,1,1,0,1,1,250.613333333333
0,1,0,1,0,0,0,0,0,1,1,211.743333333333
1,1,0,1,0,0,1,1,1,1,1,250.04
0,1,0,0,0,0,1,1,0,0,1,246.956666666667
1,1,0,0,1,1,1,0,0,1,1,246.943333333333
0,1,1,0,1,1,0,0,1,1,1,231.77
0,0,1,1,1,1,1,0,1,1,1,235.78
1,1,0,0,0,1,0,1,0,1,1,241.896666666667
1,0,0,0,1,1,0,1,1,0,1,224.296666666667
1,1,0,0,0,0,0,0,0,0,1,248.016666666667
1,0,0,0,0,0,0,1,0,0,1,227.853333333333
1,0,0,1,0,0,0,0,0,0,1,224.43
0,1,1,0,0,0,0,0,0,0,1,224.95
0,0,1,0,0,0,0,1,0,0,1,221.376666666667
0,0,1,1,0,0,0,0,0,0,1,218.816666666667
0,1,0,0,0,1,0,0,0,0,1,217.29
0,1,0,0,0,0,0,0,0,1,1,218.153333333333
0,1,0,0,0,0,0,0,1,0,1,214.72
0,1,0,0,0,0,0,1,0,0,1,213.183333333333
0,1,0,1,0,0,0,0,0,0,1,209.703333333333
0,1,0,0,0,0,1,0,0,0,1,220.866666666667
0,0,0,0,0,1,0,1,0,0,1,204.686666666667
0,0,0,1,0,1,0,0,0,0,1,201.546666666667
0,0,0,0,0,0,0,1,0,1,1,207.12
0,0,0,1,0,0,0,0,0,1,1,201.833333333333
0,0,0,0,0,0,0,1,1,0,1,202.386666666667
0,0,0,1,0,0,0,0,1,0,1,203.636666666667
0,0,0,1,0,0,0,1,0,0,1,199.953333333333
0,0,0,1,0,0,1,0,0,0,1,213.266666666667
0,1,0,1,1,0,0,0,0,1,1,213.603333333333
0,1,1,1,1,1,1,1,0,1,1,248.583333333333
1,1,1,0,0,1,1,0,0,1,1,251.803333333333
1,1,1,0,1,1,1,0,0,1,1,261.573333333333
1,1,1,0,0,1,1,1,0,1,1,267.593333333333
1,1,1,0,1,1,1,1,0,1,1,260.693333333333
1,1,1,1,0,1,1,0,0,1,1,265.423333333333
1,1,1,1,1,1,1,0,0,1,1,263.82
1,1,1,1,1,1,1,1,0,1,1,267.51
0,1,1,0,0,1,1,0,1,1,1,268.55
0,1,0,0,0,0,0,1,0,1,1,214.886666666667
0,1,1,0,1,1,1,0,1,1,1,249.343333333333
0,1,1,1,1,1,1,0,1,1,1,251.523333333333
1,1,1,0,0,1,1,0,1,1,1,252.683333333333
1,1,1,1,0,1,1,0,1,1,1,263.586666666667
1,1,1,0,1,1,1,0,1,1,1,264.743333333333
1,1,1,1,1,1,1,0,1,1,1,269.47
0,1,1,0,0,1,1,1,1,1,1,269.47
0,1,1,0,1,1,1,1,1,1,1,249.36
1,1,1,0,0,1,1,1,1,1,1,250.43
0,1,0,1,0,0,0,1,0,1,1,210.996666666667
1,1,1,0,1,1,1,1,1,1,1,262.113333333333
0,1,1,1,0,1,1,1,1,1,1,267.173333333333
1,1,1,1,0,1,1,1,1,1,1,252.446666666667
0,1,1,1,1,1,1,1,1,1,1,265.816666666667
1,1,1,1,1,1,1,1,1,1,1,253.673333333333
0,1,0,0,1,0,0,1,0,1,1,215.01
0,1,0,1,1,0,0,1,0,1,1,212.053333333333
0,1,0,0,0,1,0,0,0,1,1,216.373333333333
0,1,0,0,1,1,0,0,0,1,1,210.506666666667
0,1,0,0,0,1,0,1,0,1,1,212.713333333333
0,1,0,0,1,1,0,1,0,1,1,211.48
0,1,0,1,0,1,0,1,0,1,1,214.406666666667
0,1,0,1,1,1,0,0,0,1,1,215.733333333333
0,1,0,1,1,1,0,1,0,1,1,215.946666666667
0,1,0,0,0,0,0,0,1,1,1,217.236666666667
0,1,0,0,1,0,0,0,1,1,1,212.443333333333
0,1,0,1,0,0,0,0,1,1,1,214.38
0,1,0,1,1,0,0,0,1,1,1,215.943333333333
0,1,0,0,0,1,0,0,1,1,1,217.466666666667
0,1,0,1,0,1,0,0,1,1,1,213.406666666667
0,1,0,0,1,1,0,0,1,1,1,216.923333333333
0,0,0,0,1,0,0,1,1,0,1,201.896666666667
0,1,0,1,1,1,0,0,1,1,1,215.366666666667
0,1,0,0,0,0,0,1,1,1,1,218.233333333333
0,1,0,0,1,0,0,1,1,1,1,213.0
0,1,0,0,0,1,0,1,1,1,1,214.48
0,1,0,0,1,1,0,1,1,1,1,214.05
0,1,0,1,0,0,0,1,1,1,1,215.47
0,1,0,1,0,1,0,1,1,1,1,217.293333333333
0,1,0,1,1,0,0,1,1,1,1,218.323333333333
0,1,0,1,1,1,0,1,1,1,1,218.623333333333
0,0,1,1,1,0,0,0,0,0,1,219.283333333333
0,0,1,1,0,0,0,1,0,0,1,217.286666666667
0,0,1,0,1,0,0,1,0,0,1,220.396666666667
0,0,1,1,1,0,0,1,0,0,1,219.386666666667
0,0,1,0,0,0,0,1,1,0,1,220.423333333333
0,0,0,1,0,0,0,1,1,0,1,204.176666666667
0,0,1,0,1,0,0,1,1,0,1,218.89
0,0,1,1,0,0,0,0,1,0,1,221.166666666667
0,0,1,1,0,0,0,1,1,0,1,221.01
0,0,1,1,1,0,0,0,1,0,1,222.086666666667
0,0,1,1,1,0,0,1,1,0,1,223.296666666667
0,0,1,1,0,0,0,0,0,1,1,219.966666666667
0,0,1,1,1,0,0,0,0,1,1,220.386666666667
0,0,0,1,1,0,0,0,1,0,1,205.13
0,0,1,1,0,0,0,0,1,1,1,219.333333333333
0,0,1,1,1,0,0,0,1,1,1,221.726666666667
0,0,1,0,0,0,0,1,0,1,1,224.176666666667
0,0,1,0,1,0,0,1,0,1,1,218.563333333333
0,0,1,0,0,0,0,1,1,1,1,220.573333333333
0,0,1,0,1,0,0,1,1,1,1,220.21
0,0,1,1,0,0,0,1,0,1,1,222.266666666667
0,0,1,1,0,0,0,1,1,1,1,221.26
0,0,1,1,1,0,0,1,0,1,1,223.07
0,0,1,1,1,0,0,1,1,1,1,223.286666666667
0,1,1,0,1,0,0,0,0,0,1,224.49
0,1,1,1,0,0,0,0,0,0,1,227.013333333333
0,1,1,1,1,0,0,0,0,0,1,227.4
0,1,1,0,0,0,0,1,0,0,1,229.276666666667
0,1,1,1,0,0,0,1,0,0,1,224.99
0,1,1,0,1,0,0,1,0,0,1,228.646666666667
0,1,1,1,1,0,0,1,0,0,1,227.153333333333
0,1,1,0,0,0,0,0,0,1,1,230.536666666667
0,1,1,0,1,0,0,0,0,1,1,226.13
0,1,1,0,0,0,0,1,0,1,1,228.653333333333
0,1,1,0,1,0,0,1,0,1,1,226.57
0,1,1,1,0,0,0,0,0,1,1,228.466666666667
0,1,1,1,0,0,0,1,0,1,1,229.07
0,1,1,1,1,0,0,0,0,1,1,230.466666666667
0,1,1,1,1,0,0,1,0,1,1,230.793333333333
0,1,1,0,0,0,0,0,1,0,1,232.116666666667
0,1,1,0,1,0,0,0,1,0,1,226.883333333333
0,1,1,1,1,0,0,0,1,0,1,229.643333333333
0,1,1,0,0,0,0,0,1,1,1,231.39
0,1,1,1,0,0,0,0,1,1,1,228.266666666667
0,1,1,0,1,0,0,0,1,1,1,231.253333333333
0,1,1,1,1,0,0,0,1,1,1,230.773333333333
0,1,1,0,0,0,0,1,1,0,1,232.76
0,1,1,0,0,0,0,1,1,1,1,229.123333333333
0,1,1,0,1,0,0,1,1,1,1,228.856666666667
0,1,1,1,0,0,0,1,1,0,1,230.686666666667
0,1,1,1,0,0,0,1,1,1,1,230.943333333333
0,1,1,1,1,0,0,1,1,0,1,232.29
0,1,1,1,1,0,0,1,1,1,1,232.523333333333
0,0,1,1,0,1,0,0,0,0,1,219.396666666667
0,0,1,1,1,1,0,0,0,0,1,219.746666666667
0,0,1,0,0,1,0,1,0,0,1,221.783333333333
0,0,1,1,0,1,0,1,0,0,1,217.9
0,0,0,1,1,0,0,0,0,1,1,203.53
0,0,1,1,1,1,0,1,0,0,1,219.913333333333
0,0,1,0,0,1,0,1,1,0,1,221.056666666667
0,0,1,0,1,1,0,1,1,0,1,219.626666666667
0,0,1,1,0,1,0,0,1,0,1,221.623333333333
0,0,1,1,0,1,0,1,1,0,1,221.443333333333
0,0,1,1,1,1,0,0,1,0,1,222.366666666667
0,0,1,1,1,1,0,1,1,0,1,223.42
0,1,1,0,0,1,0,0,0,0,1,224.326666666667
0,1,1,0,1,1,0,0,0,0,1,225.34
0,1,1,1,0,1,0,0,0,0,1,227.75
0,1,1,1,1,1,0,0,0,0,1,228.256666666667
0,1,1,0,0,1,0,0,1,0,1,230.08
0,1,1,1,0,1,0,0,1,0,1,227.733333333333
0,1,1,0,1,1,0,0,1,0,1,230.573333333333
0,1,1,1,1,1,0,0,1,0,1,230.14
0,1,1,0,0,1,0,1,0,0,1,232.143333333333
0,1,1,0,1,1,0,1,0,0,1,225.796666666667
0,1,1,0,0,1,0,1,1,0,1,227.53
0,0,0,1,0,0,0,0,1,1,1,202.063333333333
0,1,1,0,1,1,0,1,1,0,1,227.99
0,1,1,1,0,1,0,1,0,0,1,229.946666666667
0,1,1,1,0,1,0,1,1,0,1,229.56
0,1,1,1,1,1,0,1,0,0,1,231.686666666667
0,1,1,1,1,1,0,1,1,0,1,231.206666666667
0,0,1,1,0,1,0,0,0,1,1,220.37
0,0,1,1,1,1,0,0,0,1,1,220.803333333333
0,0,1,0,0,1,0,1,0,1,1,222.896666666667
0,0,1,0,1,1,0,1,0,1,1,221.86
0,0,1,1,1,1,0,1,0,1,1,220.976666666667
0,1,1,0,0,1,0,0,0,1,1,223.773333333333
0,1,1,0,1,1,0,0,0,1,1,226.746666666667
0,1,1,0,0,1,0,1,0,1,1,229.296666666667
0,1,1,0,1,1,0,1,0,1,1,227.286666666667
0,1,1,1,0,1,0,0,0,1,1,228.973333333333
0,1,1,1,1,1,0,0,0,1,1,230.823333333333
0,0,0,1,1,0,0,0,1,1,1,203.976666666667
0,1,1,1,1,1,0,1,0,1,1,231.196666666667
0,0,1,1,0,1,0,0,1,1,1,222.163333333333
0,0,1,1,1,1,0,0,1,1,1,222.556666666667
0,1,1,1,0,1,0,0,1,1,1,229.206666666667
0,1,1,1,1,1,0,0,1,1,1,231.326666666667
0,0,1,0,0,1,0,1,1,1,1,233.276666666667
0,0,1,0,1,1,0,1,1,1,1,220.82
0,1,1,0,0,1,0,1,1,1,1,222.626666666667
0,1,1,0,1,1,0,1,1,1,1,229.553333333333
0,0,1,1,0,1,0,1,1,1,1,231.16
0,1,1,1,0,1,0,1,1,1,1,223.52
0,0,1,1,1,1,0,1,1,1,1,232.96
0,1,1,1,1,1,0,1,1,1,1,225.156666666667
0,0,0,0,1,0,0,1,0,1,1,201.47
1,0,0,0,1,0,0,1,0,0,1,224.733333333333
1,0,0,1,1,0,0,1,0,0,1,225.62
1,0,0,0,0,0,0,1,1,0,1,226.503333333333
1,0,0,0,1,0,0,1,1,0,1,223.493333333333
1,0,0,1,0,0,0,0,1,0,1,227.78
1,0,0,1,0,0,0,1,1,0,1,225.503333333333
1,0,0,1,1,0,0,0,1,0,1,226.566666666667
1,0,0,1,1,0,0,1,1,0,1,229.79
1,0,0,1,0,0,0,0,0,1,1,227.393333333333
1,0,0,1,1,0,0,0,0,1,1,225.413333333333
1,0,0,1,0,0,0,0,1,1,1,224.336666666667
0,0,0,0,1,0,0,1,1,1,1,203.19
1,0,0,1,1,0,0,0,1,1,1,229.243333333333
1,0,0,0,0,0,0,1,0,1,1,231.336666666667
1,0,0,0,1,0,0,1,0,1,1,223.213333333333
1,0,0,0,0,0,0,1,1,1,1,227.443333333333
1,0,0,0,1,0,0,1,1,1,1,225.26
1,0,0,1,0,0,0,1,0,1,1,229.313333333333
1,0,0,1,0,0,0,1,1,1,1,226.58
1,0,0,1,1,0,0,1,0,1,1,228.336666666667
1,0,0,1,1,0,0,1,1,1,1,230.653333333333
0,0,0,1,0,0,0,1,0,1,1,204.963333333333
1,0,0,1,0,1,0,0,0,0,1,226.7
1,0,0,1,1,1,0,0,0,0,1,224.526666666667
1,0,0,0,0,1,0,1,0,0,1,228.936666666667
1,0,0,1,0,1,0,1,0,0,1,222.556666666667
1,0,0,0,1,1,0,1,0,0,1,225.686666666667
1,0,0,1,1,1,0,1,0,0,1,226.65
1,0,0,0,0,1,0,1,0,1,1,227.94
0,0,0,1,0,0,0,1,1,1,1,204.73
1,0,0,0,1,1,0,1,0,1,1,223.976666666667
1,0,0,1,0,1,0,0,0,1,1,227.906666666667
1,0,0,1,0,1,0,1,0,1,1,226.086666666667
1,0,0,1,1,1,0,0,0,1,1,227.026666666667
1,0,0,1,1,1,0,1,0,1,1,230.313333333333
1,0,0,1,0,1,0,0,1,0,1,228.283333333333
0,0,0,1,1,0,0,1,0,1,1,206.426666666667
1,0,0,1,0,1,0,0,1,1,1,224.876666666667
1,0,0,1,1,1,0,0,1,1,1,229.816666666667
1,0,0,0,0,1,0,1,1,0,1,231.796666666667
1,0,0,0,0,1,0,1,1,1,1,228.563333333333
1,0,0,0,1,1,0,1,1,1,1,225.773333333333
1,0,0,1,0,1,0,1,1,0,1,230.133333333333
1,0,0,1,0,1,0,1,1,1,1,227.12
0,0,0,1,1,0,0,1,1,1,1,206.35
1,0,0,1,1,1,0,1,1,1,1,231.313333333333
1,0,1,1,0,0,0,0,0,0,1,240.163333333333
1,0,1,1,1,0,0,0,0,0,1,238.783333333333
1,0,1,1,0,0,0,1,0,0,1,236.886666666667
1,0,1,0,1,0,0,1,0,0,1,239.656666666667
1,0,1,1,1,0,0,1,0,0,1,241.7
1,0,1,0,0,0,0,1,1,0,1,242.786666666667
1,0,1,0,1,0,0,1,1,0,1,239.273333333333
1,0,1,1,0,0,0,0,1,0,1,243.366666666667
1,0,1,1,1,0,0,0,1,0,1,241.97
1,0,1,1,1,0,0,1,1,0,1,245.156666666667
1,0,1,1,0,1,0,0,0,0,1,242.806666666667
1,0,1,1,1,1,0,0,0,0,1,240.22
1,0,1,1,0,1,0,0,1,0,1,239.926666666667
1,0,1,1,1,1,0,0,1,0,1,244.593333333333
1,0,1,0,0,1,0,1,0,0,1,246.026666666667
1,0,1,0,1,1,0,1,0,0,1,238.703333333333
1,0,1,0,0,1,0,1,1,0,1,242.56
1,0,1,0,1,1,0,1,1,0,1,240.406666666667
1,0,1,1,0,1,0,1,0,0,1,244.26
1,0,1,1,0,1,0,1,1,0,1,241.326666666667
1,0,1,1,1,1,0,1,0,0,1,242.856666666667
1,0,1,1,1,1,0,1,1,0,1,245.22
1,0,1,1,0,0,0,0,0,1,1,243.523333333333
1,0,1,1,1,0,0,0,0,1,1,240.983333333333
1,0,1,0,0,0,0,1,0,1,1,244.73
1,0,1,1,0,0,0,1,0,1,1,239.366666666667
1,0,1,0,1,0,0,1,0,1,1,241.703333333333
0,0,0,1,1,1,0,0,0,0,1,202.933333333333
1,0,1,1,1,0,0,1,0,1,1,243.123333333333
1,0,1,0,0,1,0,1,0,1,1,244.283333333333
1,0,1,0,1,1,0,1,0,1,1,240.21
1,0,1,1,0,1,0,1,0,1,1,241.826666666667
1,0,1,1,1,1,0,0,0,1,1,242.736666666667
1,0,1,1,1,1,0,1,0,1,1,245.7
1,0,1,1,0,0,0,0,1,1,1,245.196666666667
1,0,1,1,1,0,0,0,1,1,1,242.426666666667
1,0,1,1,0,1,0,0,1,1,1,241.233333333333
1,0,1,1,1,1,0,0,1,1,1,246.16
1,0,1,0,0,0,0,1,1,1,1,247.276666666667
1,0,1,0,1,0,0,1,1,1,1,240.983333333333
1,0,1,0,0,1,0,1,1,1,1,244.606666666667
0,0,0,1,0,1,0,1,0,0,1,200.82
1,0,1,0,1,1,0,1,1,1,1,241.78
1,0,1,1,0,0,0,1,1,1,1,245.596666666667
1,0,1,1,0,1,0,1,1,1,1,243.443333333333
1,0,1,1,1,1,0,1,1,1,1,247.166666666667
1,1,0,0,1,0,0,0,0,0,1,230.166666666667
1,1,0,1,0,0,0,0,0,0,1,236.243333333333
1,1,0,1,1,0,0,0,0,0,1,233.666666666667
1,1,0,0,0,0,0,1,0,0,1,238.62
0,0,0,0,1,1,0,1,0,0,1,204.05
1,1,0,1,0,0,0,1,0,0,1,231.036666666667
1,1,0,0,1,0,0,1,0,0,1,235.173333333333
