no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,741.206666666667
1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,286.43
0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,731.216666666667
0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,632.126666666667
0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,632.063333333333
0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,628.756666666667
0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,628.496666666667
1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,712.54
1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,705.396666666667
1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,616.686666666667
1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,610.956666666667
1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,712.666666666667
1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,275.993333333333
1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,616.61
1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,705.213333333333
1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,610.686666666667
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,818.04
0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,807.273333333333
0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,817.34
0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,807.0
1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,780.93
1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,780.756666666667
1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,773.386666666667
1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,275.416666666667
1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,773.22
0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,672.413333333333
0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,666.503333333333
1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,652.653333333333
1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,645.54
0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,672.213333333333
1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,652.433333333333
0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,666.493333333333
1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,645.303333333333
0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,616.62
1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,291.66
0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,607.536666666667
0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,616.086666666667
0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,607.033333333333
0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,510.183333333333
0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,510.016666666667
0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,508.34
0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,508.003333333333
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,726.79
0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,715.993333333333
0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,580.543333333333
0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,260.41
1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,279.753333333333
0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,575.7
0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,726.643333333333
0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,580.576666666667
0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,715.906666666667
0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,575.396666666667
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,744.893333333333
0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,733.776666666667
0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,744.26
0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,733.216666666667
0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,821.526666666667
1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,291.043333333333
0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,821.756666666667
0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,809.97
0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,809.5
0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,631.283333333333
0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,627.5
0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,671.696666666667
0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,665.293333333333
0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,631.053333333333
0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,671.5
0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,627.24
1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,279.153333333333
0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,665.23
1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,590.18
1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,583.526666666667
1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,589.74
1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,583.426666666667
1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,497.333333333333
1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,496.78
1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,492.13
1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,491.696666666667
1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,715.25
1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,254.706666666667
1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,706.833333333333
1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,615.093333333333
1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,609.2
1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,714.666666666667
1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,615.06
1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,706.59
1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,608.68
1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,690.716666666667
1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,683.763333333333
1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,690.216666666667
1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,254.013333333333
1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,683.256666666667
1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,783.876666666667
1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,783.776666666667
1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,775.663333333333
1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,775.54
1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,561.743333333333
1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,555.613333333333
1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,651.49
1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,644.356666666667
1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,561.42
1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,261.206666666667
1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,651.286666666667
1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,555.26
1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,643.983333333333
1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,260.55
1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,287.086666666667
1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,291.61
1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,286.44
0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,259.903333333333
1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,290.916666666667
1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,244.333333333333
1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,244.28
1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,276.026666666667
1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,275.47
1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,249.606666666667
1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,279.81
1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,249.41
1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,279.266666666667
0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,270.656666666667
0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,275.92
0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,270.07
0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,278.196666666667
0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,277.813333333333
0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,262.563333333333
0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,268.786666666667
0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,262.233333333333
0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,268.396666666667
0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,270.706666666667
0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,270.153333333333
0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,262.566666666667
0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,266.526666666667
0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,262.29
0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,278.12
0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,268.873333333333
0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,277.533333333333
0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,268.206666666667
0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,270.66
0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,270.136666666667
0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,278.226666666667
0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,277.853333333333
0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,270.726666666667
0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,275.373333333333
0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,278.076666666667
0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,270.013333333333
0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,277.563333333333
0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,262.653333333333
0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,262.17
0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,262.53
0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,262.276666666667
0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,268.763333333333
0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,268.883333333333
0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,268.396666666667
0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,266.113333333333
0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,268.263333333333
1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,256.726666666667
1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,256.333333333333
1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,263.436666666667
1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,262.793333333333
1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,246.486666666667
1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,251.87
1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,246.4
1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,251.573333333333
1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,256.82
0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,268.773333333333
1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,256.34
1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,246.543333333333
1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,246.273333333333
1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,263.206666666667
1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,251.823333333333
1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,262.643333333333
1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,251.586666666667
1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,256.666666666667
1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,256.273333333333
1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,263.253333333333
0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,268.17
1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,262.61
1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,256.72
1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,263.073333333333
1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,256.32
1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,262.51
1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,246.41
1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,246.2
1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,246.58
1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,246.236666666667
1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,251.786666666667
0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,276.03
1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,251.86
1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,251.53
1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,251.636666666667
0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,305.456666666667
0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,305.173333333333
0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,310.696666666667
0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,310.286666666667
0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,295.49
0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,299.813333333333
0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,295.426666666667
0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,268.016666666667
0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,275.69
0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,299.706666666667
0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,305.443333333333
0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,305.04
0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,295.61
0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,295.503333333333
0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,310.776666666667
0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,299.906666666667
0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,310.316666666667
0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,299.626666666667
1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,287.05
0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,268.603333333333
1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,286.426666666667
1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,291.59
1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,291.066666666667
1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,287.106666666667
1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,291.576666666667
1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,286.4
1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,291.2
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,276.01
1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,275.56
1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,275.973333333333
0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,275.956666666667
1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,275.453333333333
1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,279.753333333333
1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,279.89
1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,279.246666666667
1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,279.156666666667
0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,305.503333333333
0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,305.03
0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,310.696666666667
0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,310.25
0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,295.68
0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,268.11
0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,299.75
0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,295.36
0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,299.69
1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,287.21
1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,286.28
1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,275.896666666667
1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,275.523333333333
1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,291.673333333333
1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,279.74
1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,291.173333333333
0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,275.31
1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,279.26
0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,305.433333333333
0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,305.0
0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,310.753333333333
0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,310.283333333333
1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,287.036666666667
1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,291.603333333333
1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,286.336666666667
1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,291.21
0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,295.58
0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,260.48
0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,295.446666666667
1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,276.01
1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,275.406666666667
0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,299.84
1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,279.903333333333
0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,299.733333333333
1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,279.193333333333
0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,271.966666666667
0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,279.356666666667
0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,263.823333333333
0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,259.963333333333
0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,269.916666666667
0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,272.003333333333
0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,263.643333333333
0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,279.333333333333
0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,269.95
0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,272.13
0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,279.533333333333
0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,272.053333333333
0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,279.303333333333
0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,263.886666666667
0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,260.38
0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,263.753333333333
0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,270.09
0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,270.063333333333
0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,305.383333333333
0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,310.606666666667
0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,295.576666666667
0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,299.866666666667
0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,305.35
0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,295.62
0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,310.673333333333
0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,259.84
0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,299.89
0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,305.5
0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,310.686666666667
0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,305.433333333333
0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,310.673333333333
0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,295.606666666667
0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,295.683333333333
0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,299.85
